Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,log_price
BMW,33000.0,crossover,200,3.0,Diesel,yes,2010,10.404262840448617
Volkswagen,16900.0,crossover,145,1.4,Petrol,yes,2011,9.735068900911164
Mercedes-Benz,22000.0,sedan,110,1.8,Petrol,yes,2011,9.998797732340453
Volkswagen,10700.0,sedan,195,3.2,Petrol,yes,2007,9.277999020449997
Mercedes-Benz,7800.0,sedan,226,2.2,Diesel,yes,2000,8.961879012677683
Mercedes-Benz,17300.0,sedan,184,1.8,Gas,yes,2008,9.75846178048587
BMW,70000.0,sedan,16,3.0,Diesel,yes,2014,11.156250521031495
Volkswagen,2200.0,hatch,118,1.4,Petrol,no,2001,7.696212639346407
BMW,8900.0,sedan,256,2.2,Petrol,yes,2002,9.093806555720231
Mercedes-Benz,31600.0,sedan,33,1.6,Petrol,yes,2013,10.360912399575003
Volkswagen,7900.0,other,168,1.9,Diesel,yes,2006,8.974618038455112
Toyota,28500.0,crossover,97,3.5,Petrol,yes,2012,10.257659366256743
Renault,6900.0,van,140,1.5,Diesel,yes,2012,8.83927669058535
BMW,8850.0,vagon,280,2.5,Diesel,yes,2000,9.088172738001974
Renault,3100.0,van,164,1.4,Petrol,yes,1999,8.039157390473237
BMW,8900.0,sedan,250,2.5,Petrol,yes,2000,9.093806555720231
Renault,6100.0,sedan,130,1.4,Petrol,yes,2005,8.716044050161402
BMW,1400.0,sedan,260,1.8,Petrol,no,1996,7.24422751560335
Volkswagen,8800.0,van,93,1.6,Diesel,yes,2012,9.082507000466299
Renault,10299.0,other,176,2.0,Diesel,yes,2013,9.239802082125802
Renault,6500.0,sedan,170,1.6,Petrol,yes,2004,8.779557455883728
Toyota,9100.0,sedan,151,1.6,Gas,yes,2007,9.116029692504942
Volkswagen,9950.0,hatch,95,1.4,Petrol,yes,2010,9.205327830152639
Toyota,24500.0,crossover,260,4.7,Gas,yes,2003,10.106428396532818
Audi,51500.0,crossover,27,3.0,Diesel,yes,2013,10.849337086651827
Volkswagen,12900.0,van,290,1.9,Diesel,yes,2008,9.464982590349763
Mercedes-Benz,8000.0,van,250,2.2,Diesel,yes,2006,8.987196820661973
Mitsubishi,8100.0,sedan,112,2.4,Petrol,yes,2007,8.99961934066053
Renault,10100.0,van,164,2.0,Diesel,yes,2012,9.22029070282935
BMW,1900.0,sedan,300,2.5,Diesel,no,1997,7.549609165154532
Renault,10800.0,van,187,2.0,Diesel,yes,2012,9.287301413112312
Audi,8000.0,sedan,234,4.2,Gas,no,2004,8.987196820661973
Mercedes-Benz,15300.0,other,120,2.6,Petrol,yes,2004,9.635608107380527
Volkswagen,2350.0,hatch,182,1.9,Diesel,no,1998,7.762170607138205
BMW,38888.0,vagon,5,0.65,Other,yes,2015,10.568440998725292
Toyota,99999.0,crossover,0,4.5,Diesel,yes,2016,11.512915464920228
Volkswagen,17650.0,sedan,110,1.8,Petrol,yes,2012,9.778491062361443
Volkswagen,12999.0,van,237,2.5,Diesel,yes,2005,9.47262771040802
Mercedes-Benz,18500.0,other,90,1.8,Petrol,yes,2008,9.825526011066415
Volkswagen,9200.0,sedan,195,2.0,Petrol,yes,2006,9.126958763037132
Volkswagen,14500.0,sedan,1,1.6,Other,yes,2016,9.581903928408666
Volkswagen,18000.0,vagon,18,1.6,Diesel,yes,2011,9.798127036878302
Mercedes-Benz,6800.0,van,250,1.7,Diesel,yes,2003,8.824677891164198
BMW,20500.0,crossover,73,2.0,Petrol,yes,2011,9.9281801651265
BMW,28000.0,other,100,5.0,Petrol,yes,2005,10.239959789157341
Volkswagen,10650.0,van,130,2.0,Diesel,yes,2011,9.273315171137572
Volkswagen,20300.0,other,30,1.4,Petrol,yes,2013,9.918376165029878
Volkswagen,3000.0,vagon,267,1.9,Diesel,no,1999,8.006367567650246
Toyota,25250.0,crossover,112,4.5,Gas,yes,2007,10.136581434703507
Mitsubishi,1389.0,hatch,245,1.3,Petrol,no,1996,7.236339342754344
Mercedes-Benz,17600.0,sedan,174,4.0,Diesel,yes,2005,9.775654181026242
Mercedes-Benz,14200.0,van,180,2.2,Diesel,yes,2007,9.560997243589352
BMW,13700.0,crossover,270,4.6,Gas,yes,2004,9.525151111816216
Mercedes-Benz,23900.0,sedan,187,5.5,Petrol,yes,2007,10.081633737919603
Volkswagen,32000.0,sedan,144,3.6,Petrol,yes,2013,10.373491181781864
BMW,4599.0,sedan,267,2.0,Gas,yes,1991,8.433594167539924
Volkswagen,2350.0,sedan,300,1.9,Diesel,no,1998,7.762170607138205
Audi,19999.0,vagon,160,2.0,Petrol,yes,2010,9.903437551286085
BMW,28900.0,sedan,78,2.0,Petrol,yes,2012,10.271596874100524
Volkswagen,3800.0,sedan,300,2.8,Gas,yes,1996,8.242756345714477
Volkswagen,1800.0,other,300,1.3,Petrol,yes,1989,7.495541943884256
Volkswagen,9700.0,sedan,201,2.0,Petrol,yes,2007,9.179881164491475
Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016,10.140226269364646
Volkswagen,24900.0,sedan,1,1.6,Diesel,yes,2016,10.1226230824528
Renault,4999.0,sedan,140,1.4,Petrol,yes,2011,8.51699317141357
BMW,4700.0,sedan,390,2.5,Petrol,yes,1991,8.45531778769815
Mercedes-Benz,4999.0,sedan,1,2.8,Petrol,yes,1997,8.51699317141357
Mercedes-Benz,9299.0,sedan,350,2.7,Diesel,yes,2000,9.137662146478197
Mercedes-Benz,25000.0,sedan,130,5.5,Petrol,yes,2007,10.126631103850338
Mitsubishi,12900.0,crossover,148,3.0,Gas,yes,2008,9.464982590349763
Audi,9700.0,vagon,189,2.5,Diesel,yes,2003,9.179881164491475
Renault,10100.0,van,64,2.0,Diesel,yes,2014,9.22029070282935
BMW,2800.0,sedan,296,3.0,Diesel,no,2001,7.937374696163295
Mercedes-Benz,13500.0,van,350,2.9,Diesel,yes,2000,9.51044496442652
Mitsubishi,8900.0,hatch,125,1.8,Petrol,yes,2009,9.093806555720231
Mercedes-Benz,109999.0,crossover,0,3.0,Diesel,yes,2016,11.60822655382414
Mercedes-Benz,11500.0,sedan,180,3.2,Gas,yes,2004,9.350102314351341
BMW,36900.0,crossover,82,3.0,Petrol,yes,2010,10.515966830028619
Toyota,33200.0,crossover,150,4.0,Gas,yes,2010,10.410305154904579
Volkswagen,10200.0,van,253,2.5,Diesel,yes,2008,9.230142999272362
Volkswagen,16999.0,sedan,0,1.6,Petrol,yes,2016,9.74090979777877
Toyota,10800.0,sedan,179,3.0,Gas,yes,2005,9.287301413112312
Mercedes-Benz,35500.0,other,99,2.99,Diesel,yes,2011,10.477287975463508
Volkswagen,9900.0,hatch,156,1.6,Petrol,yes,2007,9.20029003612268
Renault,7900.0,vagon,91,1.5,Diesel,yes,2008,8.974618038455112
Mercedes-Benz,13900.0,sedan,216,2.2,Diesel,yes,2007,9.539644119118783
Volkswagen,20000.0,sedan,102,1.8,Petrol,yes,2011,9.903487552536127
Toyota,28500.0,crossover,38,2.2,Diesel,yes,2015,10.257659366256743
Mitsubishi,7200.0,sedan,178,1.6,Petrol,yes,2007,8.881836305004146
Mitsubishi,9000.0,crossover,200,2.0,Gas,yes,2006,9.104979856318357
Audi,36500.0,crossover,115,3.0,Diesel,yes,2010,10.505067539570582
Volkswagen,8000.0,hatch,41,1.0,Petrol,yes,2012,8.987196820661973
Audi,43000.0,other,11,1.8,Petrol,yes,2015,10.668955394675699
Toyota,13700.0,sedan,48,1.4,Diesel,yes,2013,9.525151111816216
Toyota,7899.0,sedan,165,1.8,Gas,yes,2006,8.97449144816442
Renault,13999.0,van,180,2.0,Diesel,yes,2012,9.546741177474825
Volkswagen,10500.0,van,176,1.6,Diesel,yes,2012,9.259130536145614
Volkswagen,20800.0,other,160,2.0,Diesel,yes,2012,9.94270826568941
Mercedes-Benz,32000.0,crossover,176,3.2,Gas,yes,2003,10.373491181781864
Mercedes-Benz,14500.0,sedan,220,5.0,Petrol,yes,2004,9.581903928408666
Toyota,16900.0,hatch,20,1.6,Petrol,yes,2014,9.735068900911164
Mercedes-Benz,13600.0,van,172,2.2,Diesel,yes,2013,9.517825071724143
Audi,2600.0,vagon,273,2.5,Diesel,no,1999,7.8632667240095735
BMW,12000.0,sedan,237,3.0,Diesel,yes,2003,9.392661928770137
Volkswagen,18800.0,vagon,106,1.6,Diesel,yes,2013,9.84161214881804
Toyota,35500.0,crossover,85,3.0,Diesel,yes,2012,10.477287975463508
Mercedes-Benz,29900.0,other,71,5.5,Petrol,yes,2007,10.305613759378778
Renault,6750.0,other,110,1.5,Diesel,yes,2012,8.817297783866575
BMW,34900.0,crossover,117,3.0,Petrol,yes,2011,10.460242108190519
Volkswagen,7700.0,van,177,1.9,Diesel,yes,2008,8.948975607841776
Renault,9250.0,vagon,220,1.5,Diesel,yes,2010,9.132378830506472
Renault,8400.0,hatch,84,1.5,Diesel,yes,2011,9.035986984831405
Toyota,11750.0,sedan,93,1.6,Petrol,yes,2013,9.371608519572305
Mercedes-Benz,5800.0,van,368,2.2,Diesel,yes,2000,8.66561319653451
Toyota,5900.0,crossover,180,3.0,Diesel,no,2003,8.68270762989381
BMW,44999.0,crossover,87,3.0,Diesel,yes,2011,10.714395546283317
Volkswagen,10500.0,van,170,1.6,Diesel,yes,2013,9.259130536145614
Mercedes-Benz,17900.0,sedan,190,3.0,Diesel,yes,2007,9.792555991828847
Audi,9999.0,sedan,190,3.0,Petrol,yes,2007,9.21024036697585
Audi,9999.0,sedan,190,2.5,Diesel,yes,2003,9.21024036697585
Volkswagen,61000.0,crossover,2,3.0,Diesel,yes,2016,11.018629143155449
Toyota,38300.0,crossover,130,5.7,Gas,yes,2009,10.553205175168737
Toyota,17700.0,sedan,30,1.6,Petrol,yes,2014,9.78131991856192
Volkswagen,55555.0,van,50,2.0,Diesel,yes,2013,10.92512880001811
BMW,18000.0,crossover,280,3.0,Diesel,yes,2005,9.798127036878302
Renault,7600.0,other,125,1.5,Diesel,yes,2013,8.935903526274423
Renault,6900.0,sedan,68,1.5,Diesel,yes,2013,8.83927669058535
Renault,15635.1,vagon,0,1.5,Diesel,yes,2016,9.657273665778108
Renault,10550.0,van,195,2.0,Diesel,yes,2011,9.263881138904212
Volkswagen,12500.0,van,190,1.9,Diesel,yes,2008,9.433483923290392
Audi,13000.0,sedan,157,3.0,Petrol,yes,2006,9.472704636443673
BMW,7400.0,sedan,285,4.4,Gas,yes,1997,8.909235279192261
Renault,9500.0,hatch,100,1.5,Diesel,yes,2009,9.159047077588632
Audi,18800.0,crossover,197,4.2,Petrol,yes,2007,9.84161214881804
Toyota,8000.0,sedan,176,3.0,Petrol,yes,2002,8.987196820661973
Volkswagen,8700.0,vagon,250,1.9,Diesel,yes,2002,9.071078304642676
Mercedes-Benz,9999.0,crossover,300,3.2,Petrol,yes,1998,9.21024036697585
Volkswagen,16700.0,sedan,175,2.0,Petrol,yes,2011,9.723163998404846
Toyota,13900.0,hatch,90,1.6,Petrol,yes,2012,9.539644119118783
Volkswagen,18700.0,other,145,2.0,Diesel,yes,2011,9.836278802842678
Mitsubishi,6200.0,sedan,152,1.6,Petrol,yes,2006,8.732304571033183
Renault,3600.0,van,22,1.9,Diesel,yes,2001,8.1886891244442
Renault,7500.0,vagon,98,1.4,Petrol,yes,2007,8.922658299524402
Renault,2300.0,van,200,1.9,Diesel,yes,2002,7.7406644019172415
Volkswagen,16900.0,crossover,133,2.5,Diesel,yes,2007,9.735068900911164
Mitsubishi,13499.0,crossover,116,2.4,Petrol,yes,2008,9.510370887608827
Renault,5700.0,van,180,1.5,Diesel,yes,2007,8.648221453822641
Mitsubishi,17900.0,crossover,140,3.8,Gas,yes,2007,9.792555991828847
Volkswagen,13900.0,other,170,1.9,Diesel,yes,2006,9.539644119118783
Audi,7950.0,vagon,167,2.5,Diesel,yes,2000,8.980927207648378
BMW,9700.0,sedan,250,2.0,Petrol,yes,2003,9.179881164491475
Volkswagen,7500.0,sedan,240,1.8,Petrol,yes,2002,8.922658299524402
Audi,19999.0,crossover,117,4.2,Petrol,yes,2007,9.903437551286085
BMW,9100.0,sedan,230,2.0,Gas,yes,2004,9.116029692504942
Volkswagen,13300.0,hatch,73,1.4,Petrol,yes,2011,9.495519314209846
Volkswagen,21000.0,hatch,22,1.2,Other,yes,2014,9.95227771670556
Audi,6600.0,sedan,360,1.8,Petrol,yes,1998,8.794824928014517
Audi,7600.0,vagon,226,3.0,Diesel,no,2006,8.935903526274423
Mercedes-Benz,3500.0,hatch,258,1.7,Diesel,no,2002,8.160518247477505
Volkswagen,3500.0,sedan,3,1.8,Petrol,yes,1991,8.160518247477505
Mercedes-Benz,17900.0,van,167,2.2,Diesel,yes,2012,9.792555991828847
Renault,1950.0,vagon,286,1.9,Diesel,no,2001,7.575584651557793
Volkswagen,7990.0,sedan,90,1.4,Petrol,yes,2003,8.98594603876032
Volkswagen,6500.0,sedan,320,1.9,Diesel,yes,2001,8.779557455883728
Mitsubishi,3500.0,sedan,300,2.0,Diesel,yes,1996,8.160518247477505
Toyota,14100.0,sedan,113,2.4,Gas,yes,2009,9.55393007636626
Toyota,2999.0,other,300,1.6,Petrol,yes,1991,8.00603417874901
BMW,66900.0,crossover,70,3.0,Diesel,yes,2014,11.11095424611632
Toyota,13100.0,sedan,200,3.5,Gas,yes,2006,9.480367509189243
Volkswagen,6900.0,sedan,300,1.8,Petrol,yes,1998,8.83927669058535
Volkswagen,23999.0,sedan,80,2.0,Diesel,yes,2014,10.085767441795337
Mitsubishi,6990.0,crossover,225,2.5,Petrol,yes,1997,8.852235835227855
Toyota,13999.0,sedan,198,2.4,Gas,yes,2009,9.546741177474825
Renault,7600.0,van,108,1.0,Diesel,yes,2013,8.935903526274423
Renault,11100.0,vagon,180,1.5,Diesel,yes,2012,9.314700387300425
Mercedes-Benz,16500.0,other,260,2.2,Diesel,yes,2011,9.711115659888671
Mercedes-Benz,44000.0,other,82,5.5,Petrol,yes,2010,10.691944912900398
Audi,39900.0,other,12,1.8,Petrol,yes,2014,10.594131602877955
Mercedes-Benz,20500.0,sedan,173,1.8,Gas,yes,2011,9.9281801651265
BMW,8000.0,crossover,214,4.4,Petrol,no,2000,8.987196820661973
BMW,11600.0,sedan,142,2.0,Petrol,yes,2005,9.358760377094455
Renault,11500.0,vagon,170,1.5,Diesel,yes,2012,9.350102314351341
Volkswagen,13700.0,other,103,2.0,Diesel,yes,2011,9.525151111816216
Mercedes-Benz,13700.0,van,198,3.2,Gas,yes,2006,9.525151111816216
Renault,7700.0,vagon,200,1.5,Diesel,yes,2007,8.948975607841776
Mercedes-Benz,5800.0,sedan,231,2.2,Petrol,yes,1994,8.66561319653451
Volkswagen,9500.0,sedan,95,2.0,Petrol,yes,2007,9.159047077588632
Mercedes-Benz,24900.0,sedan,140,5.5,Petrol,yes,2009,10.1226230824528
Volkswagen,55500.0,crossover,47,3.0,Diesel,yes,2016,10.924138299734526
Volkswagen,6500.0,van,186,2.8,Petrol,yes,2000,8.779557455883728
Mercedes-Benz,8300.0,sedan,175,3.2,Diesel,no,2006,9.02401079378469
Mitsubishi,12000.0,crossover,130,3.0,Gas,yes,2007,9.392661928770137
Mercedes-Benz,15000.0,crossover,185,3.7,Gas,yes,2005,9.615805480084347
BMW,8100.0,sedan,246,3.0,Diesel,yes,2000,8.99961934066053
Renault,8000.0,sedan,175,2.0,Gas,yes,2005,8.987196820661973
Mercedes-Benz,5500.0,van,285,2.3,Diesel,yes,1999,8.612503371220562
Renault,9600.0,vagon,184,1.5,Diesel,yes,2011,9.169518377455928
BMW,10800.0,sedan,180,2.0,Petrol,yes,2002,9.287301413112312
Mercedes-Benz,10999.0,van,263,2.2,Diesel,yes,2005,9.305559638557117
BMW,44000.0,crossover,80,3.0,Diesel,yes,2012,10.691944912900398
Toyota,19200.0,hatch,54,1.4,Other,yes,2012,9.862665558015873
Mercedes-Benz,19600.0,van,127,1.8,Diesel,yes,2013,9.883284845218608
Volkswagen,9000.0,sedan,135,1.6,Gas,yes,2011,9.104979856318357
BMW,10900.0,sedan,245,3.0,Diesel,yes,2003,9.296518068217235
Volkswagen,12900.0,van,180,2.0,Diesel,yes,2012,9.464982590349763
BMW,6600.0,sedan,285,2.5,Petrol,yes,1999,8.794824928014517
Renault,15820.35,sedan,0,1.5,Diesel,yes,2016,9.669052364970721
Toyota,10200.0,sedan,180,2.4,Petrol,yes,2003,9.230142999272362
Mercedes-Benz,6000.0,sedan,366,3.2,Gas,yes,1994,8.699514748210191
Audi,3500.0,sedan,1,2.0,Other,yes,1988,8.160518247477505
Volkswagen,7800.0,van,380,2.5,Diesel,yes,1999,8.961879012677683
Toyota,35900.0,crossover,84,3.0,Diesel,yes,2013,10.48849257447637
Renault,11700.0,crossover,90,1.5,Diesel,yes,2011,9.367344120785848
Volkswagen,15200.0,crossover,58,2.0,Petrol,yes,2008,9.629050706834368
Mercedes-Benz,2500.0,sedan,111,2.3,Gas,yes,1992,7.824046010856292
Volkswagen,16800.0,other,164,2.0,Diesel,yes,2010,9.72913416539135
BMW,50499.0,sedan,128,3.0,Diesel,yes,2013,10.82970881308719
BMW,2250.0,sedan,300,2.5,Petrol,no,1997,7.718685495198466
Mercedes-Benz,9300.0,sedan,270,2.7,Diesel,yes,2001,9.137769679141348
Toyota,11500.0,van,161,2.5,Diesel,yes,2002,9.350102314351341
